tree_size,carbon_content
23,0.3
32,0.25
18,0.1
46,0.4
24,0.15
26,0.4
49,0.35
42,0.15
30,0.4
40,0.4
33,0.15
39,0.15
10,0.25
18,0.15
28,0.1
37,0.5
49,0.2
36,0.15
50,0.2
40,0.2
14,0.35
30,0.4
33,0.2
20,0.4
35,0.15
19,0.5
15,0.4
35,0.1
37,0.45
41,0.35
34,0.3
25,0.45
15,0.4
48,0.4
33,0.1
37,0.45
33,0.3
12,0.2
38,0.1
13,0.35
44,0.25
24,0.25
41,0.2
21,0.45
32,0.45
22,0.5
19,0.1
50,0.35
44,0.5
38,0.3
28,0.35
46,0.15
31,0.2
48,0.3
43,0.4
29,0.45
50,0.45
30,0.25
39,0.3
17,0.45
25,0.4
33,0.15
17,0.4
23,0.3
35,0.3
25,0.35
39,0.3
10,0.45
15,0.2
31,0.2
13,0.25
30,0.1
47,0.4
14,0.15
25,0.1
46,0.45
37,0.3
29,0.45
48,0.5
11,0.1
24,0.15
43,0.5
42,0.5
49,0.3
29,0.3
17,0.4
48,0.15
37,0.4
46,0.4
24,0.45
39,0.5
26,0.3
22,0.35
42,0.3
14,0.5
30,0.4
32,0.3
30,0.3
30,0.1
48,0.5
