 x_CH1903   y_CH1903  z_surface  z_bedrock   width
 674308.4  167230.67     3466.6     3429.7   1057.0
 674176.8  166852.35     3342.7     3314.8   1533.0
 674045.2  166515.15     3250.4     3191.7   1587.0
 673847.9  166186.18     3181.8     3061.1   1788.0
 673691.6  165898.33     3144.1     3027.1   1980.0
 673642.2  165848.98     3127.7     3008.2   1980.0
 673461.3  165610.48     3056.5     2890.3   1903.0
 673276.3  165437.77     2994.5     2821.1   2036.0
 673132.3  165273.28     2967.7     2702.9   2205.0
 673066.6  165005.99     2945.7     2691.5   2732.0
 673157.0  164767.49     2930.0     2674.4   2874.0
 673321.5  164574.22     2907.8     2622.3   2507.0
 673473.7  164397.39     2884.0     2578.7   2421.0
 673655.6  164122.16     2857.9     2444.4   2027.0
 673717.3  163882.95     2849.2     2463.6   1328.0
 673724.1  163573.22     2835.3     2473.4   1447.0
 673675.0  163318.97     2816.1     2427.0   1119.0
 673564.1  163134.96     2793.7     2439.8    886.0
 673422.8  162910.26     2768.4     2440.8    516.0
 673258.4  162718.60     2750.7     2418.2    654.0
 672995.2  162447.05     2725.6     2533.6    712.0
 672671.7  162208.41     2664.9     2477.9    902.0
 672433.3  161991.79     2611.8     2304.1    511.0
 672334.6  161753.28     2590.7     2329.2    787.0
 672297.6  161481.88     2551.9     2342.4    660.0
 672309.9  161152.91     2506.6     2276.2    660.0
 672351.0  160856.83     2484.9     2263.8    494.0
 672490.8  160478.52     2434.9     2256.2    312.0
 672679.3  160168.32     2383.6     2230.6    332.0
 672727.8  159943.20     2350.2     2202.2    272.0
 672713.1  159683.99     2319.4     2200.1    236.0
 672675.1  159480.45     2292.1     2174.4    130.0
 672563.8  159313.31     2273.0     2181.9    164.0
 672412.7  159183.19     2228.2     2182.0    106.0
 672293.5  159039.26     2216.9     2216.9      0.0
 672260.6  158759.64     2051.0     2051.0      0.0
 672252.3  158348.42     1813.6     1813.6      0.0
 672170.1  158134.59     1793.8     1793.8      0.0
 671882.2  157912.54     1784.1     1784.1      0.0
 671619.1  157739.82     1777.6     1777.6      0.0
 671298.3  157550.67     1768.4     1768.4      0.0
