"KoordID";"x";"y";"occ"
"1";497118;497000;118000;0
"2";497142;497000;142000;1
"3";503142;503000;142000;0
"4";503150;503000;150000;0
"5";503158;503000;158000;0
"6";509150;509000;150000;0
"7";509158;509000;158000;1
"8";509166;509000;166000;0
"9";515158;515000;158000;0
"10";515166;515000;166000;0
"11";521150;521000;150000;0
"12";521166;521000;166000;0
"13";521174;521000;174000;0
"14";527158;527000;158000;0
"15";527174;527000;174000;0
"16";527182;527000;182000;0
"17";527190;527000;190000;0
"18";527198;527000;198000;0
"19";533166;533000;166000;0
"20";533182;533000;182000;0
"21";533190;533000;190000;0
"22";533198;533000;198000;0
"23";539158;539000;158000;0
"24";539174;539000;174000;0
"25";539190;539000;190000;0
"26";539198;539000;198000;0
"27";545150;545000;150000;0
"28";545166;545000;166000;0
"29";545182;545000;182000;0
"30";545190;545000;190000;0
"31";545198;545000;198000;1
"32";545206;545000;206000;0
"33";545214;545000;214000;0
"34";551110;551000;110000;1
"35";551158;551000;158000;0
"36";551174;551000;174000;0
"37";551198;551000;198000;0
"38";551206;551000;206000;1
"39";551214;551000;214000;0
"40";557118;557000;118000;0
"41";557134;557000;134000;0
"42";557150;557000;150000;0
"43";557166;557000;166000;0
"44";557182;557000;182000;0
"45";557206;557000;206000;0
"46";557214;557000;214000;1
"47";557222;557000;222000;0
"48";563110;563000;110000;1
"49";563126;563000;126000;0
"50";563142;563000;142000;1
"51";563158;563000;158000;1
"52";563174;563000;174000;0
"53";563190;563000;190000;0
"54";563206;563000;206000;0
"55";563214;563000;214000;0
"56";563222;563000;222000;0
"57";563230;563000;230000;0
"58";563246;563000;246000;0
"59";569102;569000;102000;0
"60";569118;569000;118000;1
"61";569134;569000;134000;0
"62";569150;569000;150000;0
"63";569166;569000;166000;0
"64";569182;569000;182000;0
"65";569198;569000;198000;0
"66";569214;569000;214000;0
"67";569222;569000;222000;0
"68";569230;569000;230000;0
"69";569238;569000;238000;0
"70";569246;569000;246000;0
"71";569254;569000;254000;0
"72";575094;575000;94000;0
"73";575110;575000;110000;0
"74";575126;575000;126000;1
"75";575142;575000;142000;0
"76";575158;575000;158000;1
"77";575174;575000;174000;0
"78";575190;575000;190000;0
"79";575206;575000;206000;0
"80";575214;575000;214000;0
"81";575222;575000;222000;0
"82";575230;575000;230000;0
"83";575238;575000;238000;0
"84";575246;575000;246000;0
"85";575254;575000;254000;0
"86";581086;581000;86000;1
"87";581102;581000;102000;0
"88";581118;581000;118000;0
"89";581134;581000;134000;1
"90";581150;581000;150000;0
"91";581166;581000;166000;0
"92";581182;581000;182000;0
"93";581198;581000;198000;0
"94";581214;581000;214000;0
"95";581222;581000;222000;0
"96";581230;581000;230000;0
"97";581238;581000;238000;0
"98";581246;581000;246000;0
"99";587094;587000;94000;1
"100";587110;587000;110000;1
"101";587126;587000;126000;1
"102";587142;587000;142000;1
"103";587158;587000;158000;1
"104";587174;587000;174000;0
"105";587190;587000;190000;0
"106";587206;587000;206000;0
"107";587222;587000;222000;0
"108";587230;587000;230000;0
"109";587238;587000;238000;0
"110";587246;587000;246000;0
"111";593086;593000;86000;1
"112";593118;593000;118000;0
"113";593150;593000;150000;1
"114";593166;593000;166000;1
"115";593182;593000;182000;0
"116";593198;593000;198000;0
"117";593214;593000;214000;0
"118";593230;593000;230000;0
"119";593238;593000;238000;0
"120";593246;593000;246000;0
"121";599110;599000;110000;1
"122";599126;599000;126000;0
"123";599142;599000;142000;0
"124";599158;599000;158000;1
"125";599174;599000;174000;1
"126";599190;599000;190000;0
"127";599206;599000;206000;0
"128";599222;599000;222000;0
"129";599230;599000;230000;0
"130";599238;599000;238000;0
"131";599246;599000;246000;0
"132";599254;599000;254000;0
"133";605102;605000;102000;1
"134";605118;605000;118000;1
"135";605134;605000;134000;0
"136";605150;605000;150000;1
"137";605166;605000;166000;0
"138";605182;605000;182000;0
"139";605198;605000;198000;0
"140";605214;605000;214000;0
"141";605230;605000;230000;0
"142";605238;605000;238000;0
"143";605246;605000;246000;0
"144";605254;605000;254000;0
"145";605262;605000;262000;0
"146";611110;611000;110000;1
"147";611126;611000;126000;0
"148";611142;611000;142000;1
"149";611158;611000;158000;1
"150";611174;611000;174000;0
"151";611190;611000;190000;0
"152";611206;611000;206000;0
"153";611222;611000;222000;0
"154";611238;611000;238000;0
"155";611246;611000;246000;0
"156";611254;611000;254000;0
"157";611270;611000;270000;0
"158";617118;617000;118000;1
"159";617134;617000;134000;1
"160";617150;617000;150000;0
"161";617166;617000;166000;0
"162";617182;617000;182000;0
"163";617198;617000;198000;0
"164";617214;617000;214000;0
"165";617230;617000;230000;0
"166";617238;617000;238000;0
"167";617246;617000;246000;0
"168";617254;617000;254000;0
"169";617262;617000;262000;0
"170";623094;623000;94000;0
"171";623110;623000;110000;0
"172";623126;623000;126000;0
"173";623158;623000;158000;0
"174";623174;623000;174000;1
"175";623190;623000;190000;0
"176";623206;623000;206000;0
"177";623222;623000;222000;0
"178";623238;623000;238000;0
"179";623246;623000;246000;0
"180";623254;623000;254000;0
"181";623262;623000;262000;0
"182";629118;629000;118000;0
"183";629166;629000;166000;0
"184";629182;629000;182000;0
"185";629198;629000;198000;0
"186";629214;629000;214000;0
"187";629230;629000;230000;0
"188";629246;629000;246000;0
"189";629254;629000;254000;0
"190";629262;629000;262000;0
"191";635110;635000;110000;1
"192";635126;635000;126000;0
"193";635142;635000;142000;1
"194";635158;635000;158000;1
"195";635174;635000;174000;1
"196";635190;635000;190000;0
"197";635206;635000;206000;0
"198";635222;635000;222000;0
"199";635238;635000;238000;0
"200";635246;635000;246000;0
"201";635254;635000;254000;0
"202";635262;635000;262000;0
"203";641102;641000;102000;1
"204";641118;641000;118000;1
"205";641134;641000;134000;0
"206";641166;641000;166000;1
"207";641182;641000;182000;1
"208";641198;641000;198000;0
"209";641214;641000;214000;0
"210";641230;641000;230000;0
"211";641246;641000;246000;0
"212";641254;641000;254000;0
"213";641262;641000;262000;0
"214";647110;647000;110000;1
"215";647126;647000;126000;0
"216";647142;647000;142000;1
"217";647174;647000;174000;1
"218";647190;647000;190000;1
"219";647206;647000;206000;0
"220";647222;647000;222000;0
"221";647238;647000;238000;0
"222";647254;647000;254000;0
"223";647262;647000;262000;0
"224";653118;653000;118000;1
"225";653134;653000;134000;1
"226";653182;653000;182000;1
"227";653198;653000;198000;1
"228";653214;653000;214000;0
"229";653230;653000;230000;0
"230";653246;653000;246000;0
"231";653254;653000;254000;0
"232";653262;653000;262000;0
"233";659142;659000;142000;1
"234";659174;659000;174000;0
"235";659190;659000;190000;0
"236";659206;659000;206000;0
"237";659222;659000;222000;0
"238";659238;659000;238000;0
"239";659254;659000;254000;0
"240";659270;659000;270000;0
"241";665150;665000;150000;0
"242";665166;665000;166000;0
"243";665182;665000;182000;1
"244";665198;665000;198000;0
"245";665214;665000;214000;0
"246";665230;665000;230000;0
"247";665246;665000;246000;0
"248";665262;665000;262000;0
"249";671158;671000;158000;1
"250";671174;671000;174000;1
"251";671190;671000;190000;0
"252";671206;671000;206000;0
"253";671222;671000;222000;0
"254";671238;671000;238000;0
"255";671254;671000;254000;0
"256";677126;677000;126000;1
"257";677166;677000;166000;1
"258";677182;677000;182000;1
"259";677198;677000;198000;0
"260";677214;677000;214000;0
"261";677230;677000;230000;0
"262";677246;677000;246000;0
"263";677262;677000;262000;0
"264";677278;677000;278000;0
"265";683126;683000;126000;0
"266";683134;683000;134000;0
"267";683142;683000;142000;1
"268";683150;683000;150000;1
"269";683158;683000;158000;1
"270";683174;683000;174000;1
"271";683190;683000;190000;1
"272";683206;683000;206000;0
"273";683222;683000;222000;0
"274";683238;683000;238000;0
"275";683254;683000;254000;0
"276";683270;683000;270000;0
"277";683286;683000;286000;0
"278";689126;689000;126000;1
"279";689134;689000;134000;0
"280";689142;689000;142000;1
"281";689150;689000;150000;1
"282";689158;689000;158000;1
"283";689166;689000;166000;1
"284";689182;689000;182000;1
"285";689198;689000;198000;0
"286";689214;689000;214000;0
"287";689230;689000;230000;0
"288";689246;689000;246000;0
"289";689262;689000;262000;0
"290";689278;689000;278000;0
"291";695110;695000;110000;1
"292";695118;695000;118000;0
"293";695126;695000;126000;0
"294";695142;695000;142000;1
"295";695150;695000;150000;0
"296";695158;695000;158000;1
"297";695174;695000;174000;1
"298";695190;695000;190000;0
"299";695206;695000;206000;0
"300";695222;695000;222000;0
"301";695238;695000;238000;0
"302";695254;695000;254000;0
"303";695270;695000;270000;0
"304";695286;695000;286000;0
"305";701118;701000;118000;0
"306";701126;701000;126000;1
"307";701134;701000;134000;0
"308";701142;701000;142000;1
"309";701150;701000;150000;0
"310";701158;701000;158000;1
"311";701166;701000;166000;1
"312";701182;701000;182000;1
"313";701198;701000;198000;1
